Community Number,Community Name,Total population
101,NAKHLAT DEIRA,2
111,AL CORNICHE,"1,735"
112,AL RASS,"7,460"
113,AL DHAGAYA,"15,899"
114,AL BUTEEN,"2,841"
115,AL SABKHA,"3,969"
116,AYAL NASIR,"19,280"
117,AL MURAR,"38,970"
118,NAIF,"50,090"
119,AL REGA,"10,480"
121,CORNICHE DEIRA,14
122,AL BARAHA,"24,747"
123,AL MUTEENA,"46,185"
124,AL MURQABAT,"69,771"
125,REGA AL BUTEEN,"7,120"
126,ABU HAIL,"17,240"
127,HOR AL ANZ,"83,187"
128,AL KHBEESI,"1,992"
129,PORT SAEED,"13,551"
131,AL HAMRIYA PORT,481
132,AL WAHEDA,"20,785"
133,HOR AL ANZ EAST,"21,218"
134,AL MAMZER,"14,938"
213,NAD SHAMMA,"3,124"
214,AL GARHOUD,"18,535"
215,UM RAMOOL,"2,935"
216,AL RASHIDIYA,"37,167"
221,DUBAI  AIRPORT,22
226,AL TWAR FIRST,"11,509"
227,AL TWAR SECOND,"4,835"
228,AL TWAR THIRD,"10,655"
231,AL NAHDA FIRST,"31,449"
232,AL QUSAIS FIRST,"45,657"
233,AL QUSAIS SECOND,"12,473"
234,AL QUSAIS THIRD,"7,162"
241,AL NAHDA SECOND,"61,936"
242,AL QUSAIS IND. FIRST,"9,369"
243,AL QUSAIS IND. SECOND,"8,834"
244,MUHAISANAH THIRD,"6,493"
245,MUHAISANAH FOURTH,"34,947"
246,AL QUSAIS IND. THIRD,"2,710"
247,AL QUSAIS IND. FOURTH,"2,709"
248,AL QUSAIS IND FIFTH,"1,613"
251,MURDAF,"64,355"
252,MUSHRAIF,67
261,MUHAISANAH FIRST,"8,091"
262,AL MEZHAR FIRST,"16,552"
263,AL MEZHAR SECOND,"11,317"
264,MUHAISANAH SECOND ,"196,316"
265,OUD AL MUTEEN FIRST,"14,672"
266,OUD AL MUTEEN SECOND ,"5,506"
267,MUHAISANAH FIFTH,2
268,OUD AL MUTEEN THIRD ,"6,679"
271,WADI ALAMRADI,"3,368"
281,AL KHAWANEEJ ONE,"12,893"
282,AL KHAWANEEJ TWO,"4,523"
283,AL AYAS,"1,757"
284,AL TTAY,810
302,JUMEIRA BAY,39
303,WORLD ISLANDS,7
304,JUMEIRA ISLAND 2,3
311,AL SHANDAGA,2
312,AL SUQ AL KABEER,"51,012"
313,AL HAMRIYA,"36,738"
314,UM HURAIR FIRST,"5,856"
315,UM HURAIR SECOND,"5,328"
316,AL RAFFA,"47,140"
317,AL MANKHOOL,"40,091"
318,AL KARAMA,"75,066"
319,OUD METHA,"14,901"
321,MADINAT DUBAI AL MELAHEYAH (AL MINA),"15,172"
322,AL HUDAIBA,"14,191"
323,AL JAFLIYA,"23,963"
324,AL KIFAF,2
325,ZAABEEL FIRST,"3,260"
326,AL JADAF,"5,104"
332,JUMEIRA FIRST,"20,356"
333,AL BADA,"56,734"
334,AL SATWA,"38,991"
335,TRADE CENTER FIRST,"16,519"
336,TRADE CENTER SECOND,"12,218"
337,ZAABEEL SECOND,"8,102"
342,JUMEIRA SECOND,"10,079"
343,AL WASL,"11,555"
345,BURJ KHALIFA,"20,477"
346,AL KALIJ AL TEJARI,"21,179"
347,AL MERKADH,"1,317"
352,JUMEIRA THIRD,"13,417"
353,AL SAFFA FIRST,"8,514"
354,AL GOZE FIRST,"20,154"
355,AL GOZE SECOND,"5,240"
356,UM SUQAIM FIRST,"11,718"
357,AL SAFFA SECOND,"6,679"
358,AL GOZE THIRD,"40,553"
359,AL GOZE FOURTH,"22,718"
362,UM SUQAIM SECOND,"12,325"
363,AL MANARA,"8,271"
364,AL GOZE IND. FIRST ,"26,075"
365,AL GOZE IND. SECOND ,"159,978"
366,UM SUQAIM THIRD,"7,520"
367,UM AL SHEIF,"4,367"
368,AL GOZE IND. THIRD ,"26,656"
369,AL GOZE IND. FOURTH ,"38,079"
372,AL SAFOUH FIRST,"4,435"
373,AL BARSHAA FIRST,"39,451"
375,AL BARSHAA THIRD,"14,601"
376,AL BAESHAA SECOND,"15,523"
381,NAKHLAT JUMEIRA ,"24,448"
382,AL SOFOUH SECOND,"6,126"
383,AL THANYAH FIRST (V. RABIE SAHRA'A),"24,834"
384,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115
388,AL THANYAH THIRD (EMIRATE HILLS SECOND),"21,442"
392,MARSA DUBAI (AL MINA AL SEYAHI) ,"61,047"
393,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,"40,586"
394,AL THANYAH FOURTH (EMIRATE HILLS THIRD) ,"27,728"
412,AL KHEERAN,"4,982"
413,RAS AL KHOR,2
415,AL KHAIRAN FIRST,587
416,NAD AL HAMAR,"14,216"
421,AL WARQAA FIRST,"24,679"
422,AL WARQAA  SECOND,"10,689"
423,AL WARQAA THIRD,"14,728"
424,AL WARQAA FOURTH ,"13,452"
425,AL WARQAA FIFTH ,60
431,WADI ALSHABAK ,55
501,NAKHLAT JABAL ALI,5
502,AL WAJEHAH AL BHARIYAH,4
511,HESSYAN FIRST,"3,492"
512,HESSYAN SECOND,45
513,SAIH SHUAIB 1,9
516,JABAL ALI INDUSTRIAL THIRD,"2,462"
518,JABAL ALI INDUSTRIAL SECOND,"23,000"
521,MADINAT AL MATAAR,"2,697"
531,SAIH SHUAIB 2,"14,491"
532,SAIH SHUAIB 3,"11,144"
533,SAIH SHUAIB 4,"11,170"
591,JABAL ALI FIRST,"75,287"
592,JABAL ALI  SECOND,"1,570"
593,JABAL ALI THIRD,"1,513"
594,MENA JABAL ALI,"24,487"
597,DUBAI INVESTMENT PARK2,"60,630"
598,DUBAI INVESTMENT PARK1,"69,956"
599,JABAL ALI INDUSTRIAL FIRST,"128,975"
611,BU KADRA,16
612,RAS AL KHOR IND. FIRST,"2,550"
613,RAS AL KHOR IND. SECOND,"2,514"
614,RAS AL KHOR IND. THIRD,"21,834"
615,NAD AL SHIBBA SECOND,"2,389"
616,NAD AL SHIBBA THIRD,767
617,NAD AL SHIBBA FOURTH,"3,685"
618,NAD AL SHIBBA FIRST,"5,948"
621,WARSAN FIRST,"106,072"
622,WARSAN SECOND,"1,568"
624,WARSAN FOURTH,"8,994"
626,NADD HESSA,"38,494"
631,HADAEQ SHEIKH MOHAMMED BIN RASHID,"1,563"
643,WADI AL SAFA 2,"10,519"
645,WADI AL SAFA 3,"9,764"
646,WADI AL SAFA 4,2
648,WADI AL SAFA 5,"21,241"
664,WADI AL SAFA 6 (ARABIAN RANCHES),"18,213"
665,WADI AL SAFA 7,"8,473"
671,AL BARSHA SOUTH FIRST,"13,717"
672,AL BARSHA SOUTH SECOND,"7,509"
673,AL BARSHA SOUTH THIRD,"6,929"
674,AL HEBIAH FIRST,"10,598"
675,AL HEBIAH SECOND,"1,523"
676,AL HEBIAH THIRD,"6,845"
677,AL HEBIAH SIXTH,"2,322"
681,AL BARSHA SOUTH FOURTH,"25,974"
682,AL HEBIAH FOURTH,"20,611"
683,AL HEBIAH FIFTH,"9,748"
684,AL BARSHA SOUTH FIFTH,"7,384"
685,ME'AISEM FIRST,"18,002"
686,ME'AISEM SECOND,12
711,AL AWEER ONE,"4,107"
721,AL AWEER TWO,"5,236"
724,ENKHALI,26
727,AL WOHOOSH,46
731,LEHBAB FIRST,"3,197"
735,AL MERYAL,754
736,NAZWAH,544
811,WARSAN THIRD,"13,579"
812,AL ROWAIYAH FIRST,"3,127"
813,AL ROWAIYAH SECOND,25
814,AL ROWAIYAH THIRD,"4,429"
821,MEREIYEEL,"1,119"
824,UMM AL DAMAN,283
826,LE HEMAIRA,53
831,LEHBAB SECOND,"1,511"
835,UMM AL MO'MENEEN,309
841,MARGHAM,"1,005"
845,AL MAHA,193
847,UMM ESELAY,204
851,REMAH,232
857,MARGAB,628
861,YARAAH,94
891,HATTA,"14,045"
911,UMM NAHAD FIRST,8
912,UMM NAHAD SECOND,2
913,UMM NAHAD THIRD,"1,347"
914,UMM NAHAD FOURTH,4
915,AL YUFRAH 1,403
916,AL YUFRAH 2,58
917,AL MARMOOM,94
918,AL YUFRAH 3,4
919,AL YUFRAH 4,3
921,AL YALAYIS 1,"1,114"
922,AL YALAYIS 2,"1,364"
923,AL YALAYIS 3,4
924,AL YALAYIS 4,8
925,AL YALAYIS 5,100
931,AL LESAILY,"2,856"
941,GRAYTEESAH,55
945,AL FAGAA',417
951,SAIH AL SALAM,607
956,AL HATHMAH,35
961,AL SELAL,665
967,GHADEER BARASHY,7
971,SAIH AL DAHAL,16
975,AL O'SHOOSH,0
978,SAIH SHUA'ALAH,3
981,MUGATRAH,804
987,AL LAYAN 1,10
988,AL LAYAN 2,0
991,HEFAIR,0
