X,Y,gid,Name,description,CNAME_E,OBJECTID,LABEL_E,C_PREFIX_E,C_PREFIX_A,COMMUNITY_,DGIS_ID,COMM_NUM,NDGIS_ID,SHAPE_AREA,SHAPE_LEN
55.2389012,24.69676218,2,kml_2,,HEFAIR,24,HEFAIR,Community:,,HEFAIR - 991,227,991,227,143566502,51721.21118
55.35173867,25.07518509,6,kml_6,,WADI AL SAFA 5,28,WADI AL SAFA 5,Community:,,WADI AL SAFA 5 - 648,228,648,228,16319666.86,22350.66276
55.38136012,24.8703777,16,kml_16,,SAIH AL SALAM,38,SAIH AL SALAM,Community:,,SAIH AL SALAM - 951,217,951,217,88690423.33,42842.71329
55.54351578,25.2399839,127,kml_127,,AL TTAY,149,AL TTAY,Community:,,AL TTAY - 284,55,284,55,3294483.573,12793.45478
55.33631056,25.26866733,21,kml_21,,AL KHABAISI,43,AL KHABAISI,Community:,,AL KHABAISI - 128,30,128,30,1226749.013,5559.091719
55.66684785,24.8430066,30,kml_30,,REMAH,52,REMAH,Community:,,REMAH - 851,192,851,192,82867940.63,36841.28565
55.28312394,25.0394225,39,kml_39,,WADI AL SAFA 7,61,WADI AL SAFA 7,Community:,,WADI AL SAFA 7 - 665,229,665,229,8407907.411,12827.35689
55.64177188,25.0211931,45,kml_45,,NAZWAH,67,NAZWAH,Community:,,NAZWAH - 736,201,736,201,13058825.25,15567.13969
55.64718689,25.06425619,86,kml_86,,AL MERYAL,108,AL MERYAL,Community:,,AL MERYAL - 735,200,735,200,15458746.58,17454.24399
55.28645228,24.99849681,89,kml_89,,AL YALAYIS 2,111,AL YALAYIS 2,Community:,,AL YALAYIS 2 - 922,210,922,210,14349077.25,16427.24218
55.23692922,25.21433512,111,kml_111,,JUMEIRA BAY,133,JUMEIRA BAY,Community:,,JUMEIRA BAY - 302,247,302,247,990538.9213,8026.368951
55.3368499,25.29113614,128,kml_128,,AL WUHEIDA,150,AL WUHEIDA,Community:,,AL WUHEIDA - 132,6,132,6,1432349.212,4851.156175
55.34434777,25.3044989,137,kml_137,,AL MAMZAR,159,AL MAMZAR,Community:,,AL MAMZAR - 134,1,134,1,5798825.862,19110.86225
55.11549577,25.0541307,8,kml_8,,JABAL ALI SECOND,30,JABAL ALI SECOND,Community:,,JABAL ALI SECOND - 592,240,592,240,5059596.064,10664.72252
55.41278226,24.73919545,146,kml_146,,SAIH AL DAHAL,168,SAIH AL DAHAL,Community:,,SAIH AL DAHAL - 971,221,971,221,190161473.5,68235.01227
55.60779986,24.81132763,27,kml_27,,MARGAB,49,MARGAB,Community:,,MARGAB - 857,193,857,193,34633828.84,24347.00749
55.16366058,25.23262754,151,kml_151,,WORLD ISLANDS,173,WORLD ISLANDS,Community:,,WORLD ISLANDS - 303,249,303,249,74099957.52,32221.3504
55.13630187,25.08467051,182,kml_182,,MARSA DUBAI,204,MARSA DUBAI,Community:,,MARSA DUBAI - 392,129,392,129,8881162.512,13683.35034
55.12721875,25.1218614,183,kml_183,,NAKHLAT JUMEIRA,205,NAKHLAT JUMEIRA,Community:,,NAKHLAT JUMEIRA - 381,151,381,151,26741803.43,22589.38263
55.29600345,25.26966905,184,kml_184,,AL RAS,206,AL RAS,Community:,,AL RAS - 112,34,112,34,302711.3247,2712.992148
55.30249995,25.2692608,192,kml_192,,AL SABKHA,214,AL SABKHA,Community:,,AL SABKHA - 115,36,115,36,73089.69752,1397.45142
55.4493775,24.81064789,207,kml_207,,AL HATHMAH,3,AL HATHMAH,Community:,,AL HATHMAH - 956,218,956,218,82256581.71,35222.96908
55.4272478,24.67010852,214,kml_214,,SAIH SHUA'ALAH,10,SAIH SHUA'ALAH,Community:,,SAIH SHUA'ALAH - 978,223,978,223,69543181.43,36734.75721
55.25272692,25.15162167,11,kml_11,,AL QOUZ FOURTH,33,AL QOUZ FOURTH,Community:,,AL QOUZ FOURTH - 359,102,359,102,2238882.568,5987.09223
55.66323854,24.93767505,18,kml_18,,AL MAHA,40,AL MAHA,Community:,,AL MAHA - 845,190,845,190,41733960.09,34853.46455
55.31450847,25.07271332,220,kml_220,,WADI AL SAFA 4,16,WADI AL SAFA 4,Community:,,WADI AL SAFA 4 - 646,238,646,238,6854488.88,12609.95138
55.40827368,25.20195112,3,kml_3,,AL WARQA'A SECOND,25,AL WARQA'A SECOND,Community:,,AL WARQA'A SECOND - 422,78,422,78,3563435.017,7438.392972
55.39225727,25.2816756,4,kml_4,,AL QUSAIS IND. SECOND,26,AL QUSAIS IND. SECOND,Community:,,AL QUSAIS IND. SECOND - 243,12,243,12,1728332.816,6052.365282
55.58660748,25.19818239,1,kml_1,,AL AWIR FIRST,23,AL AWIR FIRST,Community:,,AL AWIR FIRST - 711,76,711,76,39716134.69,35058.08103
55.28735144,25.23831561,7,kml_7,,AL JAFILIYA,29,AL JAFILIYA,Community:,,AL JAFILIYA - 323,60,323,60,1669479.422,5220.966036
55.44556193,25.26431024,5,kml_5,,OUD AL MUTEENA FIRST,27,OUD AL MUTEENA FIRST,Community:,,OUD AL MUTEENA FIRST - 265,139,265,139,3628020.766,8689.164535
55.03640244,24.98506017,14,kml_14,,MENA JABAL ALI,36,MENA JABAL ALI,Community:,,MENA JABAL ALI - 594,241,594,241,34842363.73,53063.03414
55.21551346,25.1006813,19,kml_19,,AL BARSHA SECOND,41,AL BARSHA SECOND,Community:,,AL BARSHA SECOND - 376,121,376,121,6411368.047,10209.09929
55.41890885,25.19159314,9,kml_9,,AL WARQA'A THIRD,31,AL WARQA'A THIRD,Community:,,AL WARQA'A THIRD - 423,82,423,82,6220073.248,11601.43389
55.36022417,25.19793827,10,kml_10,,AL KHEERAN FIRST,32,AL KHEERAN FIRST,Community:,,AL KHEERAN FIRST - 415,166,415,166,7334275.124,11543.47774
55.45143714,24.98081749,12,kml_12,,AL MARMOOM,34,AL MARMOOM,Community:,,AL MARMOOM - 917,208,917,208,27326474.02,24214.01718
55.32210925,25.26453282,13,kml_13,,AL MURAQQABAT,35,AL MURAQQABAT,Community:,,AL MURAQQABAT - 124,39,124,39,1505474.777,4867.415041
55.32196256,24.80700489,20,kml_20,,GHADEER BARASHY,42,GHADEER BARASHY,Community:,,GHADEER BARASHY - 967,220,967,220,70858924.28,33492.89891
54.99837238,25.10242938,15,kml_15,,JABAL ALI THIRD,37,JABAL ALI THIRD,Community:,,JABAL ALI THIRD - 593,239,593,239,365014170.6,122334.4929
55.38584258,25.19875639,17,kml_17,,NADD AL HAMAR,39,NADD AL HAMAR,Community:,,NADD AL HAMAR - 416,143,416,143,8312233.587,12989.91285
55.12246994,24.79077206,22,kml_22,,AL LAYAN 1,44,AL LAYAN 1,Community:,,AL LAYAN 1 - 987,225,987,225,28336104.52,21453.76024
55.05869569,24.8698041,23,kml_23,,SAIH SHUAIB 2,45,SAIH SHUAIB 2,Community:,,SAIH SHUAIB 2 - 531,171,531,171,22279220.87,19362.14727
55.38709846,25.26924463,35,kml_35,,AL QUSAIS SECOND,57,AL QUSAIS SECOND,Community:,,AL QUSAIS SECOND - 233,27,233,27,1791180.188,5345.326624
55.31013504,25.27673716,24,kml_24,,AL MURAR,46,AL MURAR,Community:,,AL MURAR - 117,24,117,24,387711.066,2782.852048
55.39625129,25.25037408,25,kml_25,,AL TWAR THIRD,47,AL TWAR THIRD,Community:,,AL TWAR THIRD - 228,47,228,47,2967446.371,6813.569253
55.23613866,25.0084826,26,kml_26,,AL HEBIAH FIFTH,48,AL HEBIAH FIFTH,Community:,,AL HEBIAH FIFTH - 683,161,683,161,8093323.533,11621.07273
55.23236054,25.14420612,28,kml_28,,AL QOUZ IND.FIRST,50,AL QOUZ IND.FIRST,Community:,,AL QOUZ IND.FIRST - 364,109,364,109,4825398.455,8843.460063
55.23357713,25.07153237,29,kml_29,,AL BARSHA SOUTH SECOND,51,AL BARSHA SOUTH SECOND,Community:,,AL BARSHA SOUTH SECOND - 672,130,672,130,4767353.328,9516.22108
55.23854966,25.0453287,36,kml_36,,AL HEBIAH FIRST,58,AL HEBIAH FIRST,Community:,,AL HEBIAH FIRST - 674,156,674,156,4176691.029,8305.547426
55.48819422,25.17706203,38,kml_38,,WADI ALSHABAK,60,WADI ALSHABAK,Community:,,WADI ALSHABAK - 431,153,431,153,10541064.65,13832.63591
55.39924844,25.26131836,54,kml_54,,AL QUSAIS THIRD,76,AL QUSAIS THIRD,Community:,,AL QUSAIS THIRD - 234,37,234,37,2258170.47,6194.424445
55.33260709,25.24935207,31,kml_31,,PORT SAEED,53,PORT SAEED,Community:,,PORT SAEED - 129,46,129,46,2702123.358,10392.49063
55.12077976,24.9964122,32,kml_32,,JABAL ALI INDUSTRIAL FIRST,54,JABAL ALI INDUSTRIAL FIRST,Community:,,JABAL ALI INDUSTRIAL FIRST - 599,133,599,133,22065249.66,19668.94847
55.31983571,24.9700249,33,kml_33,,AL YALAYIS 4,55,AL YALAYIS 4,Community:,,AL YALAYIS 4 - 924,212,924,212,13235536.98,14984.51296
55.3573873,25.17734413,34,kml_34,,RAS AL KHOR IND. SECOND,56,RAS AL KHOR IND. SECOND,Community:,,RAS AL KHOR IND. SECOND - 613,91,613,91,4173756.228,8234.960446
